"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Fronteira dos Vales (MG)";"47";"-";"-";"-";"-";"-";"1";"20";"1";"-";"-";"-";"-";"2";"1";"2";"1";"-";"1";"18";"-";"-"
"Fruta de Leite (MG)";"64";"-";"-";"1";"-";"-";"-";"13";"2";"1";"-";"-";"-";"2";"-";"2";"4";"1";"-";"38";"-";"-"
"Frutal (MG)";"1632";"38";"7";"128";"-";"5";"60";"840";"96";"96";"21";"10";"16";"49";"65";"2";"35";"50";"16";"98";"-";"-"
"Funilândia (MG)";"89";"3";"1";"8";"-";"-";"4";"38";"2";"4";"-";"2";"3";"2";"9";"2";"5";"-";"-";"6";"-";"-"
"Galiléia (MG)";"122";"-";"7";"8";"-";"1";"6";"55";"3";"3";"2";"-";"1";"6";"2";"1";"4";"8";"-";"15";"-";"-"
"Gameleiras (MG)";"47";"1";"-";"-";"-";"-";"-";"23";"2";"-";"-";"-";"-";"1";"1";"2";"3";"-";"-";"14";"-";"-"
"Glaucilândia (MG)";"29";"-";"-";"1";"-";"-";"1";"10";"-";"-";"-";"-";"-";"-";"2";"2";"1";"1";"-";"11";"-";"-"
"Goiabeira (MG)";"63";"-";"1";"2";"-";"1";"2";"40";"-";"3";"-";"-";"-";"-";"1";"4";"1";"-";"1";"7";"-";"-"
"Goianá (MG)";"118";"2";"2";"9";"-";"-";"5";"64";"8";"6";"1";"-";"2";"2";"5";"2";"1";"-";"2";"7";"-";"-"
"Gonçalves (MG)";"120";"2";"1";"15";"-";"-";"7";"44";"2";"24";"1";"-";"1";"2";"1";"2";"2";"3";"1";"12";"-";"-"
"Gonzaga (MG)";"58";"-";"-";"1";"-";"1";"5";"33";"3";"4";"-";"-";"-";"2";"1";"2";"2";"1";"-";"3";"-";"-"
"Gouveia (MG)";"264";"2";"7";"25";"-";"-";"5";"126";"19";"17";"1";"1";"-";"4";"7";"2";"8";"7";"2";"31";"-";"-"
"Governador Valadares (MG)";"7233";"16";"26";"523";"1";"9";"279";"3161";"287";"566";"146";"77";"100";"319";"598";"4";"234";"303";"80";"504";"-";"-"
"Grão Mogol (MG)";"206";"13";"2";"14";"-";"1";"4";"87";"22";"19";"2";"-";"1";"2";"5";"2";"4";"5";"1";"22";"-";"-"
"Grupiara (MG)";"42";"1";"2";"2";"-";"-";"1";"7";"10";"1";"1";"-";"-";"1";"3";"2";"1";"2";"-";"8";"-";"-"
"Guanhães (MG)";"851";"5";"2";"48";"-";"2";"31";"449";"69";"57";"9";"6";"3";"31";"34";"3";"19";"34";"13";"36";"-";"-"
"Guapé (MG)";"345";"11";"15";"29";"-";"1";"13";"146";"11";"32";"2";"3";"12";"10";"10";"2";"7";"6";"8";"27";"-";"-"
"Guaraciaba (MG)";"113";"2";"5";"10";"1";"1";"6";"49";"6";"5";"1";"-";"-";"5";"4";"2";"2";"6";"2";"6";"-";"-"
"Guaraciama (MG)";"98";"3";"-";"3";"-";"-";"3";"46";"21";"3";"1";"-";"-";"-";"1";"2";"-";"1";"1";"13";"-";"-"
"Guaranésia (MG)";"456";"4";"-";"109";"1";"1";"10";"178";"12";"24";"12";"4";"8";"11";"10";"5";"15";"17";"4";"31";"-";"-"
"Guarani (MG)";"275";"6";"1";"48";"-";"1";"9";"108";"8";"13";"6";"2";"1";"14";"12";"3";"6";"14";"4";"19";"-";"-"
"Guarará (MG)";"87";"3";"2";"27";"-";"-";"3";"24";"4";"-";"1";"-";"-";"3";"2";"2";"5";"1";"3";"7";"-";"-"
"Guarda-Mor (MG)";"149";"9";"7";"9";"-";"-";"3";"62";"10";"10";"1";"2";"-";"4";"2";"2";"2";"6";"2";"18";"-";"-"
"Guaxupé (MG)";"1977";"8";"1";"258";"-";"4";"52";"833";"66";"144";"59";"28";"27";"90";"100";"3";"55";"110";"42";"97";"-";"-"
"Guidoval (MG)";"216";"1";"-";"55";"-";"-";"9";"98";"17";"3";"1";"1";"3";"5";"4";"1";"2";"1";"2";"13";"-";"-"
"Guimarânia (MG)";"142";"2";"1";"13";"-";"-";"1";"67";"8";"11";"-";"-";"1";"3";"2";"3";"10";"1";"2";"17";"-";"-"
"Guiricema (MG)";"218";"4";"3";"45";"-";"-";"8";"92";"19";"9";"3";"-";"2";"7";"5";"2";"4";"3";"2";"10";"-";"-"
"Gurinhatã (MG)";"94";"6";"1";"8";"-";"-";"1";"41";"13";"4";"1";"-";"-";"-";"2";"3";"1";"4";"2";"7";"-";"-"
"Heliodora (MG)";"109";"2";"-";"21";"-";"-";"-";"55";"4";"7";"1";"-";"-";"2";"3";"3";"2";"5";"1";"3";"-";"-"
"Iapu (MG)";"206";"3";"-";"14";"-";"-";"7";"109";"4";"7";"2";"-";"4";"3";"3";"2";"6";"3";"3";"36";"-";"-"
"Ibertioga (MG)";"73";"4";"-";"5";"-";"-";"-";"39";"6";"3";"1";"-";"-";"3";"1";"3";"4";"1";"1";"2";"-";"-"
"Ibiá (MG)";"509";"8";"4";"34";"-";"2";"14";"207";"41";"30";"2";"4";"5";"29";"32";"2";"21";"17";"10";"47";"-";"-"
"Ibiaí (MG)";"92";"3";"2";"2";"-";"-";"1";"48";"3";"3";"-";"-";"-";"2";"1";"2";"3";"1";"-";"21";"-";"-"
"Ibiracatu (MG)";"72";"-";"-";"1";"-";"-";"2";"22";"8";"-";"-";"-";"-";"1";"2";"2";"8";"2";"-";"24";"-";"-"
"Ibiraci (MG)";"237";"1";"3";"13";"-";"-";"5";"130";"12";"18";"3";"-";"1";"15";"4";"2";"4";"12";"5";"9";"-";"-"
"Ibirité (MG)";"1548";"1";"2";"212";"1";"7";"196";"624";"82";"45";"15";"6";"7";"53";"73";"4";"54";"25";"19";"122";"-";"-"
"Ibitiúra de Minas (MG)";"57";"-";"-";"13";"-";"-";"-";"28";"1";"2";"1";"-";"-";"1";"1";"2";"1";"1";"-";"6";"-";"-"
"Ibituruna (MG)";"62";"2";"2";"9";"-";"-";"-";"32";"-";"8";"-";"-";"-";"-";"1";"2";"1";"1";"1";"3";"-";"-"
"Icaraí de Minas (MG)";"87";"1";"-";"-";"-";"-";"5";"41";"1";"2";"-";"-";"-";"-";"1";"2";"3";"6";"-";"25";"-";"-"
"Igarapé (MG)";"768";"4";"4";"72";"-";"2";"46";"303";"78";"38";"10";"6";"12";"37";"40";"2";"38";"40";"6";"30";"-";"-"
"Igaratinga (MG)";"315";"2";"19";"96";"-";"-";"4";"129";"13";"8";"2";"1";"6";"5";"5";"3";"4";"2";"3";"13";"-";"-"
"Iguatama (MG)";"203";"7";"1";"13";"-";"1";"3";"91";"13";"10";"-";"6";"3";"8";"8";"3";"8";"11";"5";"12";"-";"-"
"Ijaci (MG)";"164";"1";"7";"17";"-";"1";"17";"54";"26";"14";"-";"1";"1";"4";"9";"2";"1";"-";"1";"8";"-";"-"
"Ilicínea (MG)";"231";"-";"1";"30";"-";"-";"6";"131";"13";"6";"1";"2";"2";"6";"2";"2";"4";"13";"2";"10";"-";"-"
"Imbé de Minas (MG)";"47";"1";"-";"5";"-";"-";"-";"20";"-";"2";"-";"-";"-";"-";"3";"2";"3";"-";"-";"11";"-";"-"
"Inconfidentes (MG)";"199";"2";"3";"56";"-";"-";"2";"79";"7";"15";"-";"-";"-";"10";"4";"2";"4";"-";"4";"11";"-";"-"
"Indaiabira (MG)";"79";"9";"-";"5";"-";"1";"2";"39";"2";"1";"-";"-";"-";"-";"2";"2";"7";"-";"2";"7";"-";"-"
"Indianópolis (MG)";"75";"4";"1";"8";"-";"-";"1";"34";"7";"4";"2";"-";"1";"3";"4";"2";"1";"1";"-";"2";"-";"-"
"Ingaí (MG)";"44";"1";"-";"2";"-";"-";"2";"16";"6";"1";"-";"-";"-";"1";"1";"2";"2";"2";"-";"8";"-";"-"
"Inhapim (MG)";"540";"1";"1";"29";"-";"-";"14";"280";"22";"31";"3";"1";"2";"19";"16";"3";"17";"23";"8";"70";"-";"-"
"Inhaúma (MG)";"129";"7";"13";"14";"-";"1";"7";"38";"11";"12";"2";"-";"2";"3";"9";"2";"5";"-";"-";"3";"-";"-"
"Inimutaba (MG)";"111";"5";"1";"11";"-";"-";"2";"32";"4";"5";"-";"-";"-";"2";"6";"3";"9";"3";"1";"27";"-";"-"
"Ipaba (MG)";"181";"6";"1";"12";"-";"-";"8";"98";"7";"7";"2";"-";"1";"6";"8";"2";"6";"2";"2";"13";"-";"-"
"Ipanema (MG)";"477";"4";"9";"63";"-";"-";"17";"250";"13";"20";"6";"-";"2";"8";"11";"3";"8";"22";"4";"37";"-";"-"
"Ipatinga (MG)";"6711";"9";"2";"452";"1";"12";"397";"2714";"326";"455";"129";"78";"73";"382";"499";"4";"257";"384";"120";"417";"-";"-"
"Ipiaçu (MG)";"86";"2";"2";"4";"-";"-";"2";"39";"3";"1";"-";"1";"-";"1";"3";"4";"6";"2";"-";"16";"-";"-"
"Ipuiúna (MG)";"296";"5";"-";"26";"-";"-";"12";"176";"10";"21";"4";"1";"1";"6";"5";"2";"6";"8";"2";"11";"-";"-"
"Iraí de Minas (MG)";"164";"3";"1";"4";"-";"1";"4";"86";"22";"5";"3";"1";"1";"10";"6";"2";"3";"5";"1";"6";"-";"-"
"Itabira (MG)";"2862";"15";"7";"170";"-";"3";"136";"1076";"95";"234";"49";"52";"36";"121";"307";"4";"107";"175";"43";"232";"-";"-"
"Itabirinha (MG)";"278";"-";"3";"21";"-";"2";"14";"156";"9";"9";"4";"1";"1";"9";"5";"2";"4";"8";"3";"27";"-";"-"
"Itabirito (MG)";"2076";"12";"20";"143";"1";"4";"126";"729";"197";"163";"30";"16";"52";"76";"144";"2";"71";"61";"49";"180";"-";"-"
"Itacambira (MG)";"42";"1";"6";"2";"-";"-";"-";"18";"-";"3";"-";"-";"-";"-";"-";"2";"3";"-";"-";"7";"-";"-"
"Itacarambi (MG)";"545";"8";"1";"24";"-";"1";"12";"281";"22";"26";"1";"1";"1";"11";"15";"5";"24";"57";"2";"53";"-";"-"
"Itaguara (MG)";"412";"3";"2";"41";"-";"3";"9";"169";"58";"17";"10";"4";"4";"22";"11";"9";"11";"10";"5";"24";"-";"-"
"Itaipé (MG)";"101";"1";"-";"6";"-";"-";"5";"48";"2";"3";"2";"-";"-";"1";"3";"4";"7";"2";"1";"16";"-";"-"
"Itajubá (MG)";"3286";"6";"11";"272";"2";"3";"117";"1238";"83";"277";"125";"39";"31";"189";"253";"4";"128";"271";"51";"186";"-";"-"
"Itamarandiba (MG)";"619";"19";"1";"47";"-";"1";"20";"314";"100";"20";"2";"1";"2";"11";"18";"3";"22";"18";"5";"15";"-";"-"
"Itamarati de Minas (MG)";"109";"2";"-";"17";"-";"-";"2";"44";"18";"4";"1";"-";"-";"-";"6";"2";"-";"2";"2";"9";"-";"-"
"Itambacuri (MG)";"311";"2";"2";"16";"-";"1";"11";"163";"8";"18";"4";"-";"1";"10";"10";"4";"20";"18";"4";"19";"-";"-"
"Itambé do Mato Dentro (MG)";"44";"-";"-";"3";"-";"-";"1";"16";"1";"7";"-";"-";"-";"1";"1";"2";"1";"-";"-";"11";"-";"-"
"Itamogi (MG)";"228";"1";"1";"28";"-";"-";"1";"131";"6";"11";"3";"1";"-";"7";"6";"2";"6";"7";"2";"15";"-";"-"
"Itamonte (MG)";"353";"6";"-";"61";"1";"-";"10";"149";"23";"23";"2";"-";"4";"9";"10";"3";"7";"13";"4";"28";"-";"-"
"Itanhandu (MG)";"465";"4";"-";"84";"-";"1";"11";"204";"15";"41";"8";"3";"-";"16";"16";"5";"19";"14";"5";"19";"-";"-"
"Itanhomi (MG)";"251";"-";"1";"12";"-";"-";"7";"157";"12";"12";"2";"-";"-";"4";"3";"2";"9";"14";"4";"12";"-";"-"
"Itaobim (MG)";"396";"-";"4";"26";"-";"1";"6";"237";"15";"25";"3";"-";"1";"6";"13";"2";"11";"16";"7";"23";"-";"-"
"Itapagipe (MG)";"278";"3";"2";"13";"-";"1";"6";"134";"16";"11";"4";"3";"2";"12";"11";"3";"15";"12";"3";"27";"-";"-"
"Itapecerica (MG)";"421";"3";"9";"55";"-";"1";"18";"170";"15";"25";"9";"5";"3";"19";"14";"2";"16";"15";"7";"35";"-";"-"
"Itapeva (MG)";"311";"3";"-";"24";"-";"-";"8";"118";"74";"31";"1";"4";"4";"10";"6";"3";"3";"7";"2";"13";"-";"-"
"Itatiaiuçu (MG)";"261";"2";"2";"33";"-";"1";"6";"108";"26";"18";"2";"-";"3";"6";"9";"2";"10";"4";"3";"26";"-";"-"
"Itaú de Minas (MG)";"513";"-";"2";"67";"-";"1";"47";"196";"58";"28";"9";"2";"4";"9";"24";"2";"8";"11";"5";"40";"-";"-"
"Itaúna (MG)";"3333";"17";"17";"402";"1";"14";"173";"1287";"226";"157";"70";"61";"54";"167";"317";"4";"83";"97";"43";"143";"-";"-"
"Itaverava (MG)";"85";"-";"1";"7";"-";"-";"4";"36";"9";"8";"-";"-";"1";"6";"4";"2";"2";"1";"-";"4";"-";"-"
"Itinga (MG)";"112";"2";"10";"5";"-";"1";"1";"54";"4";"3";"-";"-";"-";"3";"3";"2";"4";"1";"-";"19";"-";"-"
"Itueta (MG)";"96";"-";"13";"8";"-";"-";"3";"34";"2";"1";"-";"-";"-";"2";"-";"3";"7";"-";"-";"23";"-";"-"
"Ituiutaba (MG)";"2800";"35";"7";"197";"-";"8";"116";"1272";"199";"161";"46";"25";"37";"122";"202";"6";"57";"113";"39";"158";"-";"-"
"Itumirim (MG)";"86";"2";"1";"4";"-";"-";"2";"44";"8";"4";"-";"-";"-";"1";"7";"2";"4";"1";"1";"5";"-";"-"
"Iturama (MG)";"1305";"19";"2";"61";"1";"6";"50";"599";"187";"77";"15";"9";"14";"44";"53";"2";"27";"65";"8";"66";"-";"-"
"Itutinga (MG)";"63";"-";"-";"3";"-";"-";"2";"34";"6";"7";"-";"-";"-";"3";"2";"2";"1";"1";"1";"1";"-";"-"
"Jaboticatubas (MG)";"348";"4";"-";"48";"-";"-";"11";"152";"14";"27";"2";"4";"9";"12";"22";"2";"14";"4";"9";"14";"-";"-"
"Jacinto (MG)";"166";"1";"2";"4";"-";"-";"3";"96";"6";"8";"1";"-";"-";"8";"4";"2";"12";"7";"2";"10";"-";"-"
"Jacuí (MG)";"124";"1";"1";"18";"-";"-";"4";"61";"8";"5";"1";"1";"1";"2";"1";"2";"-";"7";"3";"8";"-";"-"
"Jacutinga (MG)";"1032";"8";"5";"417";"-";"1";"22";"374";"14";"52";"8";"7";"6";"20";"22";"3";"25";"18";"5";"25";"-";"-"
"Jaguaraçu (MG)";"41";"1";"2";"2";"-";"-";"4";"15";"1";"3";"-";"-";"1";"-";"2";"2";"1";"1";"-";"6";"-";"-"
"Jaíba (MG)";"565";"28";"1";"31";"1";"-";"19";"328";"21";"19";"1";"2";"1";"5";"18";"2";"14";"13";"3";"58";"-";"-"
"Jampruca (MG)";"43";"1";"-";"1";"-";"1";"-";"20";"3";"1";"-";"1";"-";"-";"1";"2";"2";"-";"-";"10";"-";"-"
"Janaúba (MG)";"1540";"36";"5";"120";"-";"1";"49";"747";"70";"69";"8";"5";"11";"59";"71";"5";"72";"103";"16";"93";"-";"-"
"Januária (MG)";"1033";"15";"4";"63";"-";"1";"30";"494";"26";"50";"9";"3";"2";"19";"31";"3";"94";"52";"20";"117";"-";"-"
"Japaraíba (MG)";"88";"4";"3";"14";"-";"-";"3";"38";"5";"1";"-";"-";"-";"3";"1";"2";"2";"3";"1";"8";"-";"-"
"Japonvar (MG)";"97";"-";"-";"-";"-";"-";"4";"61";"3";"2";"-";"-";"-";"-";"5";"3";"6";"3";"-";"10";"-";"-"
"Jeceaba (MG)";"132";"-";"2";"7";"-";"1";"4";"57";"9";"16";"1";"-";"1";"5";"4";"2";"3";"4";"3";"13";"-";"-"
"Jenipapo de Minas (MG)";"55";"2";"-";"2";"-";"-";"1";"34";"3";"2";"-";"-";"-";"2";"1";"2";"3";"-";"-";"3";"-";"-"
"Jequeri (MG)";"166";"1";"3";"13";"-";"-";"3";"70";"11";"11";"-";"1";"-";"9";"5";"4";"13";"9";"2";"11";"-";"-"
"Jequitaí (MG)";"64";"4";"-";"3";"-";"-";"2";"30";"2";"10";"1";"-";"-";"2";"3";"2";"1";"-";"1";"3";"-";"-"
"Jequitibá (MG)";"153";"3";"1";"6";"-";"-";"13";"63";"11";"4";"2";"7";"2";"9";"14";"4";"4";"1";"1";"8";"-";"-"
"Jequitinhonha (MG)";"216";"3";"1";"11";"-";"1";"6";"115";"3";"8";"4";"-";"1";"11";"4";"2";"8";"8";"6";"24";"-";"-"
"Jesuânia (MG)";"55";"1";"-";"11";"-";"-";"-";"22";"2";"2";"-";"-";"1";"1";"1";"3";"2";"4";"-";"5";"-";"-"
"Joaíma (MG)";"109";"2";"2";"9";"-";"-";"3";"63";"3";"2";"1";"-";"-";"3";"2";"2";"6";"3";"2";"6";"-";"-"
"Joanésia (MG)";"44";"1";"1";"-";"-";"-";"-";"24";"1";"2";"2";"-";"-";"-";"1";"2";"4";"-";"-";"6";"-";"-"
"João Monlevade (MG)";"2527";"8";"3";"189";"-";"9";"117";"1029";"133";"184";"42";"31";"36";"125";"196";"5";"86";"143";"39";"152";"-";"-"
"João Pinheiro (MG)";"1669";"79";"12";"161";"1";"2";"53";"784";"143";"118";"21";"6";"17";"54";"69";"4";"32";"40";"12";"61";"-";"-"
"Joaquim Felício (MG)";"80";"4";"-";"11";"-";"1";"2";"31";"2";"4";"-";"-";"-";"-";"3";"2";"1";"1";"2";"16";"-";"-"
"Jordânia (MG)";"160";"2";"-";"4";"-";"-";"-";"82";"6";"1";"-";"-";"-";"4";"3";"2";"9";"4";"2";"41";"-";"-"
"José Gonçalves de Minas (MG)";"46";"-";"-";"2";"-";"-";"1";"25";"1";"-";"-";"-";"-";"1";"1";"2";"3";"1";"-";"9";"-";"-"
"José Raydan (MG)";"34";"-";"-";"5";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"1";"2";"2";"2";"-";"6";"-";"-"
"Josenópolis (MG)";"111";"1";"-";"1";"-";"-";"-";"41";"13";"4";"1";"-";"-";"1";"2";"2";"5";"4";"1";"35";"-";"-"
"Nova União (MG)";"97";"2";"6";"8";"-";"-";"7";"36";"5";"9";"-";"-";"1";"2";"5";"2";"4";"-";"2";"8";"-";"-"
"Juatuba (MG)";"444";"9";"1";"43";"-";"4";"31";"170";"36";"33";"5";"7";"2";"16";"28";"3";"21";"11";"6";"18";"-";"-"
"Juiz de Fora (MG)";"19997";"32";"22";"1530";"10";"24";"972";"7090";"630";"1744";"341";"197";"435";"975";"2626";"13";"641";"843";"290";"1582";"-";"-"
"Juramento (MG)";"49";"3";"-";"2";"-";"-";"1";"13";"6";"1";"-";"-";"-";"1";"4";"3";"1";"1";"-";"13";"-";"-"
"Juruaia (MG)";"379";"1";"1";"181";"-";"1";"9";"124";"7";"10";"-";"1";"9";"4";"4";"2";"3";"8";"3";"11";"-";"-"
"Juvenília (MG)";"61";"-";"1";"3";"-";"-";"-";"31";"2";"2";"1";"-";"-";"1";"3";"2";"4";"1";"-";"10";"-";"-"
"Ladainha (MG)";"79";"2";"1";"2";"-";"-";"1";"49";"1";"3";"-";"-";"-";"2";"3";"4";"4";"-";"2";"5";"-";"-"
"Lagamar (MG)";"177";"1";"2";"11";"-";"-";"2";"76";"22";"7";"5";"-";"-";"7";"4";"2";"4";"3";"-";"31";"-";"-"
"Lagoa da Prata (MG)";"1401";"17";"4";"183";"-";"2";"80";"621";"87";"63";"17";"11";"20";"79";"68";"2";"35";"45";"17";"50";"-";"-"
"Lagoa dos Patos (MG)";"35";"1";"-";"1";"-";"-";"1";"22";"-";"-";"-";"-";"1";"-";"1";"2";"2";"1";"1";"2";"-";"-"
"Lagoa Dourada (MG)";"222";"3";"1";"21";"-";"-";"5";"118";"21";"7";"-";"1";"-";"7";"4";"2";"5";"3";"4";"20";"-";"-"
"Lagoa Formosa (MG)";"338";"2";"2";"49";"-";"1";"7";"170";"12";"15";"3";"3";"3";"9";"11";"3";"12";"6";"4";"26";"-";"-"
"Lagoa Grande (MG)";"197";"6";"7";"8";"-";"-";"4";"77";"27";"8";"2";"-";"-";"4";"12";"3";"5";"4";"2";"28";"-";"-"
"Lagoa Santa (MG)";"1433";"9";"3";"136";"-";"2";"128";"496";"47";"102";"24";"27";"51";"86";"140";"2";"55";"30";"20";"75";"-";"-"
"Lajinha (MG)";"432";"8";"2";"33";"-";"1";"8";"250";"21";"26";"2";"2";"-";"13";"11";"3";"7";"10";"8";"27";"-";"-"
"Lambari (MG)";"534";"1";"-";"79";"-";"2";"14";"243";"33";"43";"7";"2";"3";"11";"18";"3";"19";"14";"7";"35";"-";"-"
"Lamim (MG)";"62";"-";"1";"5";"-";"-";"5";"29";"2";"4";"-";"-";"-";"1";"2";"2";"1";"2";"1";"7";"-";"-"
"Laranjal (MG)";"200";"-";"1";"15";"-";"-";"1";"68";"88";"7";"-";"-";"-";"3";"5";"2";"-";"1";"1";"8";"-";"-"
"Lassance (MG)";"88";"10";"1";"6";"-";"-";"2";"38";"4";"4";"-";"-";"-";"-";"5";"3";"2";"1";"-";"12";"-";"-"
"Lavras (MG)";"3061";"18";"7";"214";"-";"7";"130";"1301";"161";"223";"60";"22";"45";"169";"207";"5";"109";"171";"64";"148";"-";"-"
"Leandro Ferreira (MG)";"41";"-";"7";"5";"-";"-";"2";"18";"-";"1";"-";"-";"-";"-";"2";"3";"-";"1";"-";"2";"-";"-"
"Leme do Prado (MG)";"74";"-";"1";"5";"-";"-";"3";"29";"9";"4";"1";"-";"-";"3";"1";"4";"5";"2";"1";"6";"-";"-"
"Leopoldina (MG)";"1433";"10";"11";"112";"-";"-";"35";"674";"151";"98";"18";"17";"9";"56";"67";"2";"28";"53";"26";"66";"-";"-"
"Liberdade (MG)";"132";"1";"2";"10";"1";"-";"1";"82";"2";"15";"-";"-";"-";"1";"4";"3";"1";"2";"-";"7";"-";"-"
"Lima Duarte (MG)";"498";"6";"15";"33";"-";"-";"15";"215";"10";"66";"2";"-";"2";"16";"19";"4";"18";"9";"23";"45";"-";"-"
"Limeira do Oeste (MG)";"171";"1";"-";"11";"-";"-";"4";"81";"23";"6";"-";"-";"1";"1";"4";"2";"2";"4";"1";"30";"-";"-"
"Lontra (MG)";"134";"1";"-";"4";"-";"-";"6";"75";"4";"3";"2";"-";"-";"2";"3";"2";"1";"10";"-";"21";"-";"-"
"Luisburgo (MG)";"87";"-";"1";"5";"-";"-";"2";"43";"3";"2";"2";"-";"-";"-";"2";"2";"11";"-";"1";"13";"-";"-"
"Luislândia (MG)";"75";"-";"-";"1";"-";"-";"3";"30";"4";"-";"-";"-";"-";"-";"1";"2";"5";"2";"-";"27";"-";"-"
"Luminárias (MG)";"106";"-";"12";"6";"-";"-";"2";"59";"1";"7";"-";"-";"-";"1";"2";"2";"1";"2";"-";"11";"-";"-"
"Luz (MG)";"510";"13";"-";"53";"-";"1";"15";"232";"40";"22";"10";"3";"12";"23";"9";"3";"12";"13";"8";"41";"-";"-"
"Machacalis (MG)";"130";"-";"2";"2";"-";"-";"1";"63";"-";"4";"1";"-";"-";"3";"3";"4";"6";"9";"1";"31";"-";"-"
"Machado (MG)";"1198";"12";"2";"143";"-";"2";"24";"531";"116";"68";"21";"11";"10";"51";"48";"2";"32";"66";"15";"44";"-";"-"
"Madre de Deus de Minas (MG)";"145";"6";"2";"7";"-";"-";"3";"62";"19";"16";"-";"-";"1";"4";"1";"4";"3";"-";"4";"13";"-";"-"
"Malacacheta (MG)";"245";"-";"4";"17";"-";"-";"6";"104";"6";"8";"2";"2";"-";"9";"7";"4";"19";"8";"3";"46";"-";"-"
"Mamonas (MG)";"61";"-";"-";"3";"-";"-";"1";"27";"-";"-";"1";"-";"-";"-";"1";"2";"3";"4";"-";"19";"-";"-"
"Manga (MG)";"270";"4";"1";"14";"-";"1";"3";"150";"11";"8";"2";"1";"-";"7";"6";"2";"8";"17";"2";"33";"-";"-"
"Manhuaçu (MG)";"2546";"6";"11";"203";"2";"9";"86";"1246";"132";"145";"20";"32";"21";"93";"146";"5";"89";"115";"20";"165";"-";"-"
"Manhumirim (MG)";"587";"5";"2";"38";"-";"2";"16";"323";"14";"34";"7";"8";"5";"25";"24";"3";"16";"21";"6";"38";"-";"-"
"Mantena (MG)";"761";"1";"8";"64";"-";"1";"22";"354";"34";"32";"12";"-";"7";"20";"26";"3";"28";"50";"8";"91";"-";"-"
"Maravilhas (MG)";"203";"6";"4";"28";"-";"1";"9";"103";"11";"6";"5";"-";"-";"3";"12";"2";"3";"1";"1";"8";"-";"-"
"Mar de Espanha (MG)";"397";"1";"5";"155";"-";"1";"1";"137";"12";"23";"4";"-";"2";"11";"6";"2";"5";"8";"5";"19";"-";"-"
"Maria da Fé (MG)";"268";"4";"-";"43";"-";"-";"6";"109";"11";"22";"-";"-";"1";"8";"8";"2";"15";"13";"1";"25";"-";"-"
"Mariana (MG)";"1588";"7";"11";"69";"2";"1";"79";"689";"119";"164";"24";"9";"13";"56";"90";"3";"48";"50";"49";"105";"-";"-"
"Marilac (MG)";"41";"2";"1";"1";"-";"-";"-";"24";"2";"1";"-";"-";"-";"1";"2";"2";"1";"-";"-";"4";"-";"-"
"Mário Campos (MG)";"172";"2";"1";"15";"-";"3";"17";"70";"11";"5";"1";"1";"2";"3";"9";"2";"3";"-";"2";"25";"-";"-"
"Maripá de Minas (MG)";"74";"3";"-";"16";"-";"1";"1";"19";"-";"8";"-";"-";"-";"5";"5";"2";"3";"1";"1";"9";"-";"-"
"Marliéria (MG)";"63";"5";"-";"6";"-";"-";"3";"25";"2";"2";"-";"-";"-";"3";"3";"2";"4";"2";"-";"6";"-";"-"
"Marmelópolis (MG)";"46";"-";"-";"9";"-";"-";"-";"22";"-";"3";"1";"-";"-";"1";"2";"2";"-";"1";"1";"4";"-";"-"
"Martinho Campos (MG)";"409";"28";"12";"39";"-";"-";"11";"141";"61";"16";"2";"7";"4";"19";"17";"2";"17";"11";"6";"16";"-";"-"
"Martins Soares (MG)";"101";"1";"2";"6";"-";"-";"1";"66";"6";"4";"-";"1";"-";"1";"2";"2";"2";"-";"1";"6";"-";"-"
"Mata Verde (MG)";"79";"-";"-";"5";"-";"-";"1";"48";"2";"-";"-";"-";"-";"3";"1";"2";"3";"2";"-";"12";"-";"-"
"Materlândia (MG)";"32";"-";"-";"1";"-";"-";"1";"16";"-";"3";"-";"-";"-";"-";"-";"2";"6";"-";"-";"3";"-";"-"
"Mateus Leme (MG)";"599";"6";"2";"63";"-";"1";"37";"251";"32";"34";"7";"11";"9";"36";"16";"5";"25";"22";"7";"35";"-";"-"
"Matias Barbosa (MG)";"513";"3";"4";"37";"2";"-";"37";"178";"55";"29";"23";"10";"11";"37";"33";"2";"12";"11";"9";"20";"-";"-"
